gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation
1104|09065,55.1681,-0.2672,0.2608,-1.0246,0.3056,0.3574,brix domain-containing protein
1104|09066,52.6191,1.4903,0.3447,4.3236,1.535e-05,3.272e-05,hypothetical protein CGGC5_522
1104|09067,15.5921,2.1668,1.5882,1.3643,0.1725,0.2135,---NA---
1104|09068,109.2266,2.8976,2.079,1.3938,0.1634,0.2033,---NA---
1104|09069,62.2949,1.0348,0.2296,4.5073,6.566e-06,1.443e-05,hypothetical protein CGLO_17014
1104|09070,724.5066,6.916,0.2754,25.1088,3.986e-139,1.773e-137,hypothetical protein CGGC5_10677
1104|09071,22.9967,-4.9316,0.7745,-6.3673,1.924e-10,5.781e-10,---NA---
1104|09072,210.3973,-1.7979,0.1178,-15.2658,1.292e-52,1.509e-51,hypothetical protein CGGC5_524
1104|09073,27.0343,2.2125,0.6021,3.6745,0.0002383,0.0004532,benzoate 4-monooxygenase cytochrome p450
1104|09074,60.2207,1.1033,0.2239,4.9276,8.326e-07,1.963e-06,pep3 vps18 deep orange family protein
1104|09076,99.2058,-0.0829,0.1541,-0.5376,0.5908,0.6435,tpr domain-containing protein
1104|09077,2315.4213,11.1087,0.4337,25.6137,1.073e-144,5.146e-143,hypothetical protein CGGC5_10669
1104|09078,13.7836,-0.2896,2.7905,-0.1038,0.9174,0.9352,hypothetical protein CGGC5_1137
1104|09079,9.0574,4.2023,0.683,6.1528,7.611e-10,2.217e-09,hypothetical protein CGGC5_521
1104|09080,22.7214,0.5629,0.2706,2.0801,0.03752,0.05331,integral membrane protein
1104|09081,45.0299,-0.2896,3.5126,-0.0824,0.9343,0.9463,peptidase c14 caspase domain
1104|09083,44.7458,2.5803,2.1192,1.2176,0.2234,0.2694,---NA---
1104|09084,8.4572,2.0388,1.2503,1.6306,0.103,0.1343,methyltransferase domain-containing protein
1104|09085,3.9375,-1.5326,0.6453,-2.3748,0.01756,0.02625,major facilitator superfamily transporter
1104|09086,23.4176,0.62,0.3202,1.9364,0.05282,0.07308,methylitaconate delta2-delta3-isomerase
1104|09087,8.2093,-0.2896,2.8607,-0.1012,0.9194,0.9353,serine threonine-protein kinase shk2
1104|09088,57.8393,-1.0278,0.2867,-3.5847,0.0003374,0.0006312,aig2-like family protein
1104|09089,24.2745,-3.2391,0.4552,-7.1152,1.118e-12,3.847e-12,hypothetical protein CGGC5_544
1104|09090,16.7958,-1.1692,0.4292,-2.7244,0.006442,0.01031,glycyl-trna synthetase
1104|09093,96.2146,-7.1024,0.4091,-17.3616,1.612e-67,2.441e-66,atp-dependent dna helicase
1104|09094,310.3972,2.8936,2.051,1.4108,0.1583,0.1978,set domain-containing protein 5
1104|09097,2.8845,0.3358,1.1497,0.2921,0.7702,0.8118,arca-like protein
1104|09098,5.0918,-2.7189,2.2064,-1.2323,0.2178,0.2635,c6 transcription factor
