gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation
1104|10417,194.0772,-0.5118,0.2392,-2.1393,0.03241,0.05019,peptidase m16 inactive domain-containing protein
1104|10418,0.782,1.9732,1.9953,0.989,0.3227,0.3931,snf2 family domain-containing protein
1104|10419,130.7556,-1.2601,0.17,-7.4113,1.251e-13,5.258e-13,chromosome segregation protein
1104|10420,6.7024,0.5434,0.7107,0.7646,0.4445,0.5184,mevalonate kinase
1104|10421,2330.2592,2.2526,0.2054,10.9643,5.671e-28,4.21e-27,methionyl-trna synthetase
1104|10422,1.7046,-0.4239,0.909,-0.4664,0.6409,0.708,beta-glucosidase 1 precursor
1104|10423,26.5489,4.0336,2.0255,1.9914,0.04644,0.06964,---NA---
1104|10424,16.8053,2.1903,0.4615,4.7458,2.077e-06,5.374e-06,methionyl-trna synthetase
1104|10425,11.8617,-1.9125,0.3939,-4.8557,1.2e-06,3.167e-06,hypothetical protein CGGC5_11914
1104|10426,2.9988,-2.334,1.8768,-1.2436,0.2136,0.274,farnesyltransferase alpha subunit ram2
1104|10427,86.7609,3.1592,0.2879,10.9744,5.074e-28,3.769e-27,gtpase activating protein
1104|10428,3.3687,-2.3882,0.6524,-3.6606,0.0002516,0.0005272,hypothetical protein CGLO_02678
1104|10429,152.0282,-1.652,0.1344,-12.295,9.637e-35,8.805e-34,palmitoyltransferase pfa3
1104|10430,264.1906,-0.9391,0.1207,-7.7779,7.376e-15,3.303e-14,ribosomal protein l34
1104|10431,111.9637,2.241,0.252,8.8919,6.009e-19,3.262e-18,hypothetical protein CGGC5_11926
1104|10432,444.5414,-2.2182,0.3528,-6.2874,3.228e-10,1.114e-09,pyridoxal-phosphate dependent enzyme
1104|10433,32.4144,1.7428,0.3032,5.7479,9.036e-09,2.827e-08,dna repair protein
1104|10436,320.9286,0.0872,0.1039,0.84,0.4009,0.4744,dna polymerase alpha epsilon subunit b
1104|10437,2.6473,0.7591,1.8162,0.418,0.676,0.7395,lipase
1104|10439,228.2495,-3.7741,0.1164,-32.436,8.542e-231,1.029e-228,aaa family
1104|10440,46.1756,0.1745,0.2697,0.6472,0.5175,0.5902,nuclear transport factor 2 domain-containing protein
1104|10441,65.8895,4.0994,0.268,15.2957,8.165e-53,1.113e-51,---NA---
1104|10442,0.6264,1.7662,2.0898,0.8452,0.398,0.4714,hypothetical protein CGLO_00808
1104|10443,21.7896,2.6311,0.4405,5.9735,2.322e-09,7.562e-09,hypothetical protein CGLO_12720
1104|10444,100.605,1.1832,0.163,7.2607,3.852e-13,1.574e-12,ankyrin repeat protein
1104|10445,27.2042,3.3576,0.4282,7.8411,4.465e-15,2.029e-14,nadh:flavin oxidoreductase nadh oxidase
