sample,mate,trimLeft,truncLen,maxEE,final_read_len,reads_in,reads_out,pct_kept
CIH2,1,0,150,2.0,150,100000,94529,94.53
CIH2,1,0,150,5.0,150,100000,98262,98.26
CIH2,1,10,100,1.0,90,100000,94722,94.72
CIH2,1,10,100,2.0,90,100000,97725,97.72
CIH2,1,10,100,5.0,90,100000,99722,99.72
CIH2,1,10,125,1.0,115,100000,92442,92.44
CIH2,1,10,125,2.0,115,100000,96363,96.36
CIH2,1,10,125,5.0,115,100000,99022,99.02
CIH2,1,10,150,1.0,140,100000,89660,89.66
CIH2,1,10,150,2.0,140,100000,94644,94.64
CIH2,1,10,150,5.0,140,100000,98272,98.27
CIH2,2,0,100,1.0,100,100000,90888,90.89
CIH2,2,0,100,2.0,100,100000,95384,95.38
CIH2,2,0,100,5.0,100,100000,99354,99.35
CIH2,2,0,125,1.0,125,100000,87778,87.78
CIH2,2,0,125,2.0,125,100000,93074,93.07
CIH2,2,0,125,5.0,125,100000,98396,98.4
CIH2,2,0,150,1.0,150,100000,83492,83.49
CIH2,2,0,150,2.0,150,100000,90105,90.1
CIH2,2,0,150,5.0,150,100000,96931,96.93
CIH2,2,10,100,1.0,90,100000,91388,91.39
CIH2,2,10,100,2.0,90,100000,95705,95.7
CIH2,2,10,100,5.0,90,100000,99415,99.42
CIH2,2,10,125,1.0,115,100000,88209,88.21
CIH2,2,10,125,2.0,115,100000,93395,93.4
CIH2,2,10,125,5.0,115,100000,98499,98.5
CIH2,2,10,150,1.0,140,100000,83885,83.88
CIH2,2,10,150,2.0,140,100000,90362,90.36
CIH2,2,10,150,5.0,140,100000,97083,97.08
CIH3,1,0,100,1.0,100,100000,94499,94.5
CIH3,1,0,100,2.0,100,100000,97714,97.71
CIH3,1,0,100,5.0,100,100000,99731,99.73
CIH3,1,0,125,1.0,125,100000,92254,92.25
CIH3,1,0,125,2.0,125,100000,96303,96.3
CIH3,1,0,125,5.0,125,100000,99140,99.14
CIH3,1,0,150,1.0,150,100000,89465,89.46
CIH3,1,0,150,2.0,150,100000,94556,94.56
CIH3,1,0,150,5.0,150,100000,98353,98.35
CIH3,1,10,100,1.0,90,100000,94708,94.71
CIH3,1,10,100,2.0,90,100000,97777,97.78
CIH3,1,10,100,5.0,90,100000,99738,99.74
CIH3,1,10,125,1.0,115,100000,92464,92.46
CIH3,1,10,125,2.0,115,100000,96387,96.39
CIH3,1,10,125,5.0,115,100000,99151,99.15
CIH3,1,10,150,1.0,140,100000,89653,89.65
CIH3,1,10,150,2.0,140,100000,94663,94.66
CIH3,1,10,150,5.0,140,100000,98376,98.38
CIH3,2,0,100,1.0,100,100000,91048,91.05
CIH3,2,0,100,2.0,100,100000,95524,95.52
CIH3,2,0,100,5.0,100,100000,99442,99.44
CIH3,2,0,125,1.0,125,100000,87961,87.96
CIH3,2,0,125,2.0,125,100000,93264,93.26
CIH3,2,0,125,5.0,125,100000,98525,98.52
CIH3,2,0,150,1.0,150,100000,83671,83.67
CIH3,2,0,150,2.0,150,100000,90343,90.34
CIH3,2,0,150,5.0,150,100000,97095,97.1
CIH3,2,10,100,1.0,90,100000,91569,91.57
CIH3,2,10,100,2.0,90,100000,95851,95.85
CIH3,2,10,100,5.0,90,100000,99526,99.53
CIH3,2,10,125,1.0,115,100000,88373,88.37
CIH3,2,10,125,2.0,115,100000,93578,93.58
CIH3,2,10,125,5.0,115,100000,98632,98.63
CIH3,2,10,150,1.0,140,100000,84056,84.06
CIH3,2,10,150,2.0,140,100000,90632,90.63
CIH3,2,10,150,5.0,140,100000,97243,97.24
CON1,1,0,100,1.0,100,100000,97428,97.43
CON1,1,0,100,2.0,100,100000,99625,99.62
CON1,1,0,100,5.0,100,100000,99998,100.0
CON1,1,0,125,1.0,125,100000,95586,95.59
CON1,1,0,125,2.0,125,100000,98992,98.99
CON1,1,0,125,5.0,125,100000,99998,100.0
CON1,1,0,150,1.0,150,100000,92118,92.12
CON1,1,0,150,2.0,150,100000,97246,97.25
CON1,1,0,150,5.0,150,100000,99896,99.9
CON1,1,10,100,1.0,90,100000,97719,97.72
CON1,1,10,100,2.0,90,100000,99676,99.68
CON1,1,10,100,5.0,90,100000,99999,100.0
CON1,1,10,125,1.0,115,100000,95907,95.91
CON1,1,10,125,2.0,115,100000,99084,99.08
CON1,1,10,125,5.0,115,100000,99998,100.0
CON1,1,10,150,1.0,140,100000,92468,92.47
CON1,1,10,150,2.0,140,100000,97415,97.42
CON1,1,10,150,5.0,140,100000,99899,99.9
CON1,2,0,100,1.0,100,100000,92073,92.07
CON1,2,0,100,2.0,100,100000,97353,97.35
CON1,2,0,100,5.0,100,100000,99995,100.0
CON1,2,0,125,1.0,125,100000,87994,87.99
CON1,2,0,125,2.0,125,100000,94407,94.41
CON1,2,0,125,5.0,125,100000,99874,99.87
CON1,2,0,150,1.0,150,100000,81852,81.85
CON1,2,0,150,2.0,150,100000,90052,90.05
CON1,2,0,150,5.0,150,100000,98737,98.74
CON1,2,10,100,1.0,90,100000,92790,92.79
CON1,2,10,100,2.0,90,100000,97731,97.73
CON1,2,10,100,5.0,90,100000,99998,100.0
CON1,2,10,125,1.0,115,100000,88568,88.57
CON1,2,10,125,2.0,115,100000,94843,94.84
CON1,2,10,125,5.0,115,100000,99937,99.94
CON1,2,10,150,1.0,140,100000,82313,82.31
CON1,2,10,150,2.0,140,100000,90416,90.42
CON1,2,10,150,5.0,140,100000,98934,98.93
CON2,1,0,100,1.0,100,100000,97435,97.44
CON2,1,0,100,2.0,100,100000,99639,99.64
CON2,1,0,100,5.0,100,100000,100000,100.0
CON2,1,0,125,1.0,125,100000,95551,95.55
CON2,1,0,125,2.0,125,100000,99034,99.03
CON2,1,0,125,5.0,125,100000,99996,100.0
CON2,1,0,150,1.0,150,100000,92565,92.56
CON2,1,0,150,2.0,150,100000,97663,97.66
CON2,1,0,150,5.0,150,100000,99940,99.94
CON2,1,10,100,1.0,90,100000,97786,97.79
CON2,1,10,100,2.0,90,100000,99684,99.68
CON2,1,10,100,5.0,90,100000,100000,100.0
CON2,1,10,125,1.0,115,100000,95984,95.98
CON2,1,10,125,2.0,115,100000,99131,99.13
CON2,1,10,125,5.0,115,100000,99998,100.0
CON2,1,10,150,1.0,140,100000,92990,92.99
CON2,1,10,150,2.0,140,100000,97825,97.82
CON2,1,10,150,5.0,140,100000,99943,99.94
CON2,2,0,100,1.0,100,100000,94911,94.91
CON2,2,0,100,2.0,100,100000,98429,98.43
CON2,2,0,100,5.0,100,100000,99993,99.99
CON2,2,0,125,1.0,125,100000,91726,91.73
CON2,2,0,125,2.0,125,100000,96627,96.63
CON2,2,0,125,5.0,125,100000,99931,99.93
CON2,2,0,150,1.0,150,100000,86067,86.07
CON2,2,0,150,2.0,150,100000,93102,93.1
CON2,2,0,150,5.0,150,100000,99303,99.3
CON2,2,10,100,1.0,90,100000,95482,95.48
CON2,2,10,100,2.0,90,100000,98675,98.68
CON2,2,10,100,5.0,90,100000,99999,100.0
CON2,2,10,125,1.0,115,100000,92252,92.25
CON2,2,10,125,2.0,115,100000,96916,96.92
CON2,2,10,125,5.0,115,100000,99961,99.96
CON2,2,10,150,1.0,140,100000,86578,86.58
CON2,2,10,150,2.0,140,100000,93389,93.39
CON2,2,10,150,5.0,140,100000,99394,99.39
CON3,1,0,100,1.0,100,100000,97245,97.24
CON3,1,0,100,2.0,100,100000,99613,99.61
CON3,1,0,100,5.0,100,100000,99999,100.0
CON3,1,0,125,1.0,125,100000,95164,95.16
CON3,1,0,125,2.0,125,100000,98851,98.85
CON3,1,0,125,5.0,125,100000,99996,100.0
CON3,1,0,150,1.0,150,100000,91883,91.88
