gene,CON1,CON2,CON3,APP1,APP2,APP3,CIH1,CIH2,CIH3,IL1,IL2,IL3
1104|11098,12,6,12,77,86,67,83,77,73,2,10,0
1104|11099,1,0,1,2,2,3,26,32,75,0,0,0
1104|11100,94,91,121,304,300,314,1026,1116,2187,10,46,10
1104|11101,167,224,286,971,1050,992,99,115,64,17,41,24
1104|11102,51,58,82,116,152,130,107,92,77,7,18,10
1104|11103,0,1,1,14,9,14,0,1,3,1,2,0
1104|11104,0,2,4,3,3,11,1,1,0,0,1,0
1104|11105,3,4,0,0,0,0,8,6,3,1,0,1
1104|11106,3,2,6,2,4,2,0,1,2,0,0,1
1104|11107,0,2,0,4,4,2,2,1,6,0,0,0
1104|11108,0,0,0,0,0,0,0,0,0,0,0,0
1104|11109,87,78,87,142,203,216,116,188,223,18,52,18
1104|11110,0,0,0,0,0,0,0,4,2,0,0,0
1104|11111,16,15,22,6,3,3,7,4,14,0,1,0
1104|11112,76,117,126,0,0,2,65,74,250,18,41,18
1104|11113,84,81,84,241,275,271,132,134,194,4,11,6
1104|11114,22,28,29,99,160,161,108,137,116,4,12,9
1104|11115,1052,1242,1544,1070,1584,1243,1095,1223,1142,48,132,48
1104|11116,4,8,11,63,65,46,24,47,49,2,8,5
1104|11117,0,0,0,1,0,3,0,0,2,0,0,0
1104|11118,63,103,93,467,513,438,845,740,1512,9,23,15
1104|11119,7,15,14,6,14,11,3,9,5,1,1,1
1104|11120,2,6,5,15,11,16,4,6,6,1,0,0
1104|11121,16,20,20,95,141,149,15,19,29,4,8,4
1104|11122,5,4,7,60,64,80,26,37,36,8,13,15
1104|11123,581,739,768,1622,2019,2029,1433,1407,1512,75,161,80
1104|11124,0,3,7,6,3,5,0,1,6,0,0,0
1104|11125,80,116,142,79,71,96,81,80,123,1,15,7
1104|11126,25,49,38,125,126,102,79,66,107,1,3,3
1104|11127,21,19,20,215,203,220,75,57,165,1,7,8
1104|11128,38,45,28,200,159,193,137,154,283,3,16,2
1104|11129,0,0,0,0,0,0,36,40,92,0,10,1
1104|11130,246,314,359,181,246,285,107,156,99,9,27,21
1104|11131,218,245,292,44,65,63,25,29,22,3,9,4
1104|11132,10,17,17,77,87,93,81,65,111,1,5,4
1104|11133,0,0,0,0,0,0,7,9,37,0,0,0
1104|11134,142,162,174,188,312,305,135,175,248,5,13,12
1104|11135,43,41,43,55,56,73,33,31,58,0,5,1
1104|11136,933,1112,1327,1189,1736,1684,1031,1259,804,39,136,58
1104|11137,105,93,132,162,188,176,76,90,79,23,39,29
1104|11138,125,148,179,143,129,159,142,159,256,6,20,9
1104|11139,0,0,0,0,1,0,0,0,0,0,0,0
1104|11140,43,58,40,57,77,79,36,46,45,6,32,12
1104|11141,615,699,746,0,0,0,262,284,307,6,40,26
1104|11142,0,0,0,0,0,0,0,0,0,0,0,0
1104|11143,1,3,4,0,0,0,3,0,1,0,0,0
1104|11144,0,0,0,0,0,0,0,0,0,0,0,0
1104|11145,0,0,0,0,0,0,0,0,0,0,0,0
1104|11146,0,0,0,0,0,0,0,0,0,0,0,0
1104|11147,0,0,0,0,0,0,0,0,0,0,0,0
1104|11148,93,135,129,54,57,53,85,92,356,66,86,43
1104|11149,0,1,1,6,4,7,3,10,12,4,20,7
1104|11150,1196,1495,1941,31,22,38,4,10,10,11,16,7
1104|11151,27,53,30,28,38,29,12,17,30,1,5,1
1104|11152,519,591,741,276,359,382,270,352,333,29,68,23
1104|11153,3,2,4,0,0,2,0,0,3,3,2,1
