term_id,term_name,gene
FS001,Major facilitator superfamily transporter,1104|08438
FS001,Major facilitator superfamily transporter,1104|08448
FS001,Major facilitator superfamily transporter,1104|08463
FS001,Major facilitator superfamily transporter,1104|08467
FS001,Major facilitator superfamily transporter,1104|08578
FS001,Major facilitator superfamily transporter,1104|08580
FS001,Major facilitator superfamily transporter,1104|08706
FS001,Major facilitator superfamily transporter,1104|08809
FS001,Major facilitator superfamily transporter,1104|08811
FS001,Major facilitator superfamily transporter,1104|08925
FS001,Major facilitator superfamily transporter,1104|08962
FS001,Major facilitator superfamily transporter,1104|08966
FS001,Major facilitator superfamily transporter,1104|09085
FS001,Major facilitator superfamily transporter,1104|09181
FS001,Major facilitator superfamily transporter,1104|09204
FS001,Major facilitator superfamily transporter,1104|09208
FS001,Major facilitator superfamily transporter,1104|09211
FS001,Major facilitator superfamily transporter,1104|09280
FS001,Major facilitator superfamily transporter,1104|09334
FS001,Major facilitator superfamily transporter,1104|09420
FS001,Major facilitator superfamily transporter,1104|09430
FS001,Major facilitator superfamily transporter,1104|09467
FS001,Major facilitator superfamily transporter,1104|09558
FS001,Major facilitator superfamily transporter,1104|09577
FS001,Major facilitator superfamily transporter,1104|09888
FS001,Major facilitator superfamily transporter,1104|09898
FS001,Major facilitator superfamily transporter,1104|09914
FS001,Major facilitator superfamily transporter,1104|10076
FS001,Major facilitator superfamily transporter,1104|10095
FS001,Major facilitator superfamily transporter,1104|10144
FS001,Major facilitator superfamily transporter,1104|10454
FS001,Major facilitator superfamily transporter,1104|10532
FS001,Major facilitator superfamily transporter,1104|10537
FS001,Major facilitator superfamily transporter,1104|10615
FS001,Major facilitator superfamily transporter,1104|10629
FS001,Major facilitator superfamily transporter,1104|10643
FS001,Major facilitator superfamily transporter,1104|10656
FS001,Major facilitator superfamily transporter,1104|10658
FS001,Major facilitator superfamily transporter,1104|10661
FS001,Major facilitator superfamily transporter,1104|10722
FS001,Major facilitator superfamily transporter,1104|10733
FS001,Major facilitator superfamily transporter,1104|10735
FS001,Major facilitator superfamily transporter,1104|10750
FS001,Major facilitator superfamily transporter,1104|10765
FS001,Major facilitator superfamily transporter,1104|10798
FS001,Major facilitator superfamily transporter,1104|10814
FS001,Major facilitator superfamily transporter,1104|10818
FS001,Major facilitator superfamily transporter,1104|10825
FS001,Major facilitator superfamily transporter,1104|10827
FS001,Major facilitator superfamily transporter,1104|10908
FS001,Major facilitator superfamily transporter,1104|10920
FS001,Major facilitator superfamily transporter,1104|10974
FS001,Major facilitator superfamily transporter,1104|10977
FS001,Major facilitator superfamily transporter,1104|11014
FS001,Major facilitator superfamily transporter,1104|11085
FS001,Major facilitator superfamily transporter,1104|11115
FS001,Major facilitator superfamily transporter,1104|11151
FS001,Major facilitator superfamily transporter,1104|11253
FS001,Major facilitator superfamily transporter,1104|11263
FS001,Major facilitator superfamily transporter,1104|11279
FS001,Major facilitator superfamily transporter,1104|11284
FS001,Major facilitator superfamily transporter,1104|11333
FS001,Major facilitator superfamily transporter,1104|11460
FS001,Major facilitator superfamily transporter,1104|11500
FS001,Major facilitator superfamily transporter,1104|11511
FS001,Major facilitator superfamily transporter,1104|11565
FS001,Major facilitator superfamily transporter,1104|11619
FS001,Major facilitator superfamily transporter,1104|11672
FS001,Major facilitator superfamily transporter,1104|11708
FS001,Major facilitator superfamily transporter,1104|11713
FS001,Major facilitator superfamily transporter,1104|11742
FS001,Major facilitator superfamily transporter,1104|11746
FS001,Major facilitator superfamily transporter,1104|11772
FS001,Major facilitator superfamily transporter,1104|11867
FS001,Major facilitator superfamily transporter,1104|11883
